# iHydroCal SWAT+ parameter database
# Edit flag=1 to activate a parameter. chg_type can be blank; iHydroCal will use pctchg by default.
"# obj_ids blank means all objects. Use comma-separated IDs like ""1,2,3"" for selected objects."
# Generated from:,"cal_parms.cal:,written,by,SWAT+,editor,v3.0.8,on,11/10/2025,14:48,for,SWAT+,rev.61.0.1"
223,,,,,,,,,,,,,,,,,,,,,,,,
flag,name,chg_type,val,obj_typ,obj_ids,conds,lyr1,lyr2,year1,year2,day1,day2,obj_tot,abs_min,abs_max,parlbnd,parubnd,partrans,pargp,scale,offset,dercom,units,description
0,cn2_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,25,98,-50,50,none,cn2_lte,1.0,0.0,1,null,
0,awc_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0.01,1,-50,50,none,awc_lte,1.0,0.0,1,mm_H20/mm,
0,etco_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0,1,-50,50,none,etco_lte,1.0,0.0,1,null,
0,tc_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,1,86400,-50,50,none,tc_lte,1.0,0.0,1,min,
0,soildep_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,10,10000,-50,50,none,soildep_lte,1.0,0.0,1,mm,
0,slope_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0,1,-50,50,none,slope_lte,1.0,0.0,1,m/m,
0,slopelen_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,10,150,-50,50,none,slopelen_lte,1.0,0.0,1,m,
0,sy_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0.001,0.8,-50,50,none,sy_lte,1.0,0.0,1,mm,
0,abf_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0,1,-50,50,none,abf_lte,1.0,0.0,1,days,
0,revapc_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0.02,0.2,-50,50,none,revapc_lte,1.0,0.0,1,null,
0,percc_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0,0.9,-50,50,none,percc_lte,1.0,0.0,1,fraction,
0,sw_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0,1,-50,50,none,sw_lte,1.0,0.0,1,fraction,
0,gw_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0,10000,-50,50,none,gw_lte,1.0,0.0,1,mm,
0,gwflow_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0,10,-50,50,none,gwflow_lte,1.0,0.0,1,mm,
0,gwdeep_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0,10,-50,50,none,gwdeep_lte,1.0,0.0,1,mm,
0,snow_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0,1000,-50,50,none,snow_lte,1.0,0.0,1,mm,
0,uslek_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0,0.65,-50,50,none,uslek_lte,1.0,0.0,1,null,
0,uslec_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0,1,-50,50,none,uslec_lte,1.0,0.0,1,null,
0,uslep_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0,1,-50,50,none,uslep_lte,1.0,0.0,1,null,
0,uslels_lte,,1.0e-7,hlt,,0,0,0,0,0,0,0,0,0,1,-50,50,none,uslels_lte,1.0,0.0,1,null,
0,pst_koc,,1.0e-7,pst,,0,0,0,0,0,0,0,0,0,1,-50,50,none,pst_koc,1.0,0.0,1,m**3/g,
0,pst_washoff,,1.0e-7,pst,,0,0,0,0,0,0,0,0,0,1,-50,50,none,pst_washoff,1.0,0.0,1,null,
0,pst_foliar_hlife,,1.0e-7,pst,,0,0,0,0,0,0,0,0,0,10000,-50,50,none,pst_foliar_hlife,1.0,0.0,1,days,
0,pst_soil_hlife,,1.0e-7,pst,,0,0,0,0,0,0,0,0,0,100000,-50,50,none,pst_soil_hlife,1.0,0.0,1,days,
0,pst_solub,,1.0e-7,pst,,0,0,0,0,0,0,0,0,0,11000000,-50,50,none,pst_solub,1.0,0.0,1,mg/L,
0,pst_aq_hlife,,1.0e-7,pst,,0,0,0,0,0,0,0,0,0,10000,-50,50,none,pst_aq_hlife,1.0,0.0,1,1/day,
0,pst_aq_volat,,1.0e-7,pst,,0,0,0,0,0,0,0,0,0,10,-50,50,none,pst_aq_volat,1.0,0.0,1,m/day,
0,pst_aq_settle,,1.0e-7,pst,,0,0,0,0,0,0,0,0,0,10,-50,50,none,pst_aq_settle,1.0,0.0,1,m/day,
0,pst_aq_resus,,1.0e-7,pst,,0,0,0,0,0,0,0,0,0,1,-50,50,none,pst_aq_resus,1.0,0.0,1,m/day,
0,pst_ben_hlife,,1.0e-7,pst,,0,0,0,0,0,0,0,0,0,10000,-50,50,none,pst_ben_hlife,1.0,0.0,1,1/day,
0,pst_ben_bury,,1.0e-7,pst,,0,0,0,0,0,0,0,0,0,0.1,-50,50,none,pst_ben_bury,1.0,0.0,1,m/day,
0,pst_ben_act_dep,,1.0e-7,pst,,0,0,0,0,0,0,0,0,0,1,-50,50,none,pst_ben_act_dep,1.0,0.0,1,m,
